Transformador,Frecuencia (Hz),PSD (Power)
10023,0.2197265625,19.6486581942999
10023,0.220703125,18.8863993397051
10023,0.2216796875,18.2270170222984
10023,0.22265625,17.1544715358271
10023,0.2236328125,16.6591723700111
10023,0.224609375,15.4694481287358
10023,0.2255859375,14.9989690277396
10023,0.2265625,14.8603923839606
10023,0.2275390625,14.8007591800585
10023,0.228515625,13.7204038466298
10023,0.2294921875,13.8700723957237
10023,0.23046875,15.310788341293
10023,0.2314453125,16.5228871284892
10023,0.232421875,14.6602023705861
10023,0.2333984375,13.1342933581295
10023,0.234375,12.0385077101954
10023,0.2353515625,12.1103585833451
10023,0.236328125,12.1780482790324
10023,0.2373046875,12.8350377240749
10023,0.23828125,13.1041360167833
10023,0.2392578125,13.335804101096
10023,0.240234375,12.7410779603401
10023,0.2412109375,13.7138868597925
10023,0.2421875,16.4219655077248
10023,0.2431640625,18.4546379462765
10023,0.244140625,16.4211354376234
10023,0.2451171875,15.2950951537591
10023,0.24609375,14.5836342362954
10023,0.2470703125,14.7179253697374
10023,0.248046875,19.2352012110343
10023,0.2490234375,31.8769278817002
